Time,Input,2,Output
second,Volt,Volt,Volt
-3.14E-07,4.65E+00,2.71E-01,6.25E-01
-3.12E-07,4.65E+00,2.71E-01,6.25E-01
-3.11E-07,4.65E+00,2.71E-01,7.81E-01
-3.10E-07,4.65E+00,2.71E-01,7.81E-01
-3.09E-07,4.65E+00,1.46E-01,6.25E-01
-3.08E-07,4.65E+00,1.46E-01,6.25E-01
-3.06E-07,4.65E+00,1.46E-01,4.69E-01
-3.05E-07,4.65E+00,1.46E-01,3.13E-01
-3.04E-07,4.65E+00,2.05E-02,3.13E-01
-3.03E-07,4.65E+00,1.46E-01,3.13E-01
-3.01E-07,4.65E+00,1.46E-01,4.69E-01
-3.00E-07,4.65E+00,8.30E-02,3.13E-01
-2.99E-07,4.65E+00,2.05E-02,3.13E-01
-2.98E-07,4.65E+00,8.30E-02,1.56E-01
-2.96E-07,4.65E+00,2.05E-02,1.56E-01
-2.95E-07,4.65E+00,2.05E-02,0.00E+00
-2.94E-07,4.65E+00,-4.20E-02,0.00E+00
-2.93E-07,4.65E+00,-4.20E-02,0.00E+00
-2.91E-07,4.65E+00,-4.20E-02,-1.56E-01
-2.90E-07,4.65E+00,-1.04E-01,0.00E+00
-2.89E-07,4.65E+00,-1.67E-01,-3.13E-01
-2.88E-07,4.52E+00,-1.67E-01,-3.13E-01
-2.86E-07,4.52E+00,-1.04E-01,-4.69E-01
-2.85E-07,4.46E+00,-1.67E-01,-3.13E-01
-2.84E-07,4.34E+00,-1.67E-01,-4.69E-01
-2.83E-07,4.34E+00,-1.04E-01,-6.25E-01
-2.81E-07,4.21E+00,-1.04E-01,-6.25E-01
-2.80E-07,4.21E+00,-1.67E-01,-4.69E-01
-2.79E-07,4.09E+00,-1.04E-01,-6.25E-01
-2.78E-07,4.21E+00,-1.04E-01,-6.25E-01
-2.77E-07,4.09E+00,2.05E-02,-6.25E-01
-2.75E-07,4.09E+00,8.30E-02,-4.69E-01
-2.74E-07,4.09E+00,-4.20E-02,-7.81E-01
-2.73E-07,4.09E+00,2.05E-02,-6.25E-01
-2.72E-07,4.02E+00,2.05E-02,-4.69E-01
-2.70E-07,3.96E+00,-4.20E-02,-4.69E-01
-2.69E-07,3.96E+00,2.05E-02,-4.69E-01
-2.68E-07,3.90E+00,2.05E-02,-4.69E-01
-2.67E-07,3.90E+00,2.05E-02,-3.13E-01
-2.65E-07,3.84E+00,8.30E-02,-3.13E-01
-2.64E-07,3.84E+00,8.30E-02,-3.13E-01
-2.63E-07,3.77E+00,8.30E-02,-3.13E-01
-2.62E-07,3.90E+00,8.30E-02,0.00E+00
